model_id,config_id,estimator_name,selection_score,directional_accuracy,sharpe_like,sharpe_like_clipped,r2,r2_clipped,rmse,cumulative_return,max_drawdown,n_trades,n_events,tau,selected
M3_gbdt,M3,gbdt,0.7317631770037605,0.9,1.607678247048301,0.5358927490161004,0.7368028593925009,0.7368028593925009,0.0026714346354914,0.1688248823385725,0.0,24,40,0.0021406713288173,False
M2_ols,M2,ols,0.7084750921327656,0.875,1.3889846991003632,0.462994899700121,0.7857075089508931,0.7857075089508931,0.0024105017196636,0.1753341383476235,0.0001188610594737,28,40,0.0023282431968356,True
M3_ols,M3,ols,0.7076331511143471,0.9,1.2958874235808695,0.4319624745269565,0.7857851401196494,0.7857851401196494,0.0024100650571009,0.1740320576942537,0.0003155515595627,29,40,0.0023627724164568,False
M1_gbdt,M1,gbdt,0.7063179889513008,0.85,1.607678247048301,0.5358927490161004,0.7150221071826625,0.7150221071826625,0.0027797744217429,0.1688248823385725,0.0,24,40,0.002165496709123,False
M2_gbdt,M2,gbdt,0.6993857002935122,0.825,1.607678247048301,0.5358927490161004,0.7272929525515079,0.7272929525515079,0.0027192688619653,0.1688248823385725,0.0,24,40,0.0021771281914847,False
M1_ols,M1,ols,0.6861849860700115,0.825,1.3271024077235998,0.4423674692411999,0.8054254873423665,0.8054254873423665,0.0022969256873769,0.1760040413584961,0.0004406712229588,29,40,0.0022938233265585,False
M0_ols,M0,ols,0.6743145758630275,0.85,1.2617073913037649,0.4205691304345882,0.7484615208436863,0.7484615208436863,0.0026115971401899,0.1786848927208844,0.0004406712229588,31,40,0.0021793454363543,False
M1_elasticnet,M1,elasticnet,0.6655747456541633,0.85,1.1922631965261614,0.3974210655087205,0.7459094909044444,0.7459094909044444,0.0026248119262589,0.1808784585552542,0.0011906861894693,33,40,0.001868702272164,False
M2_elasticnet,M2,elasticnet,0.6643215513334535,0.85,1.1922631965261614,0.3974210655087205,0.7408967136216051,0.7408967136216051,0.0026505770279957,0.1808784585552542,0.0011906861894693,33,40,0.0018871293194431,False
M0_gbdt,M0,gbdt,0.6608826123274499,0.775,1.5724629544593578,0.5241543181531193,0.6697144038954325,0.6697144038954325,0.0029926007892896,0.1716389915323622,0.0,25,40,0.0020090855618874,False
M3_elasticnet,M3,elasticnet,0.6598719174160071,0.85,1.198230004720039,0.3994100015733463,0.7203136674613435,0.7203136674613435,0.0027538456258145,0.1780643493614644,0.0011906861894693,32,40,0.001897117935099,False
M0_elasticnet,M0,elasticnet,0.6185916344848237,0.8,1.086102144138295,0.3620340480460983,0.6875188706747569,0.6875188706747569,0.0029108234616066,0.179192287158606,0.0023559699666388,35,40,0.0017952482827316,False
