model_id,config_id,estimator_name,feature,coefficient
M2_ols,M2,ols,PMPS_pre_Kalshi,-0.03186632863677401
M2_ols,M2,ols,PMPS_pre_Polymarket,0.0053111964865355426
M2_ols,M2,ols,Delta_mean_pre,0.016665803817891626
M2_ols,M2,ols,Delta_variance_pre,0.001977430852495822
M2_ols,M2,ols,Delta_skew_pre,-0.0010224105335818732
M2_ols,M2,ols,__intercept__,-0.0043642798594031255
M3_elasticnet,M3,elasticnet,surprise,-0.005400904458436652
M3_elasticnet,M3,elasticnet,VIX_Tminus1,1.553285308842851e-05
M3_elasticnet,M3,elasticnet,prior_5d_SPY_return,0.12580770293802299
M3_elasticnet,M3,elasticnet,regime_HIGH_INFLATION,-0.0
M3_elasticnet,M3,elasticnet,regime_NORMAL,0.0004522919061428761
M3_elasticnet,M3,elasticnet,regime_EASING,0.0
M3_elasticnet,M3,elasticnet,regime_TIGHTENING,-0.00022583988841668273
M3_elasticnet,M3,elasticnet,event_type_CPI,-0.0
M3_elasticnet,M3,elasticnet,event_type_FOMC,-0.0002218443695053799
M3_elasticnet,M3,elasticnet,event_type_FED_CUTS,0.0
M3_elasticnet,M3,elasticnet,event_type_NFP,0.0004700603568242873
M3_elasticnet,M3,elasticnet,PMPS_pre_Kalshi,-0.017504386228213337
M3_elasticnet,M3,elasticnet,PMPS_pre_Polymarket,0.0
M3_elasticnet,M3,elasticnet,Delta_mean_pre,0.004447956793812798
M3_elasticnet,M3,elasticnet,Delta_variance_pre,0.0
M3_elasticnet,M3,elasticnet,Delta_skew_pre,-0.0017273029099063957
M3_elasticnet,M3,elasticnet,PMPS_pre_weighted_Kalshi,0.0
M3_elasticnet,M3,elasticnet,PMPS_pre_weighted_Polymarket,0.0
M3_elasticnet,M3,elasticnet,delta_volume_pre_Kalshi,-1.2615216676263275e-05
M3_elasticnet,M3,elasticnet,delta_volume_pre_Polymarket,-8.154393538008117e-07
M3_elasticnet,M3,elasticnet,delta_oi_pre_Kalshi,-2.819017944971233e-07
M3_elasticnet,M3,elasticnet,__intercept__,-0.0036901764298188132
M3_ols,M3,ols,surprise,-0.007064695159066818
M3_ols,M3,ols,VIX_Tminus1,3.00582009956239e-05
M3_ols,M3,ols,prior_5d_SPY_return,0.17314651833481626
M3_ols,M3,ols,regime_HIGH_INFLATION,0.0001507077079464191
M3_ols,M3,ols,regime_NORMAL,0.0004134573912479266
M3_ols,M3,ols,regime_EASING,-0.0005150353662556533
M3_ols,M3,ols,regime_TIGHTENING,-4.912973295052827e-05
M3_ols,M3,ols,event_type_CPI,0.000504779682502557
M3_ols,M3,ols,event_type_FOMC,-0.00040340806782512004
M3_ols,M3,ols,event_type_FED_CUTS,-0.00022245517948404005
M3_ols,M3,ols,event_type_NFP,0.00012108356480707644
M3_ols,M3,ols,PMPS_pre_Kalshi,-0.07635104658023813
M3_ols,M3,ols,PMPS_pre_Polymarket,0.029235992169711657
M3_ols,M3,ols,Delta_mean_pre,0.012996695943390315
M3_ols,M3,ols,Delta_variance_pre,0.004875043899797683
M3_ols,M3,ols,Delta_skew_pre,-0.0009769744593446507
M3_ols,M3,ols,PMPS_pre_weighted_Kalshi,0.17654289180504684
M3_ols,M3,ols,PMPS_pre_weighted_Polymarket,-0.0888586990841001
M3_ols,M3,ols,delta_volume_pre_Kalshi,5.955319478575227e-06
M3_ols,M3,ols,delta_volume_pre_Polymarket,-1.1905567563378811e-05
M3_ols,M3,ols,delta_oi_pre_Kalshi,-4.668034788063208e-08
M3_ols,M3,ols,__intercept__,-0.004182954561540014
