model_id,config_id,estimator_name,selection_score,directional_accuracy,sharpe_like,sharpe_like_clipped,r2,r2_clipped,rmse,cumulative_return,max_drawdown,n_trades,n_events,tau,selected
M3_gbdt,M3,gbdt,0.7317631770037605,0.9,1.6076782470483013,0.5358927490161004,0.7368028593925009,0.7368028593925009,0.002671434635491488,0.1688248823385725,0.0,24,40,0.00214067132881739,True
M2_ols,M2,ols,0.7084750921327656,0.875,1.3889846991003632,0.46299489970012103,0.7857075089508931,0.7857075089508931,0.0024105017196636787,0.17533413834762357,0.00011886105947370162,28,40,0.0023282431968356687,False
M3_ols,M3,ols,0.7076331511143471,0.9,1.2958874235808695,0.4319624745269565,0.7857851401196494,0.7857851401196494,0.0024100650571009406,0.17403205769425378,0.0003155515595627996,29,40,0.0023627724164568082,False
M1_gbdt,M1,gbdt,0.7063179889513008,0.85,1.6076782470483013,0.5358927490161004,0.7150221071826625,0.7150221071826625,0.0027797744217429136,0.1688248823385725,0.0,24,40,0.002165496709123052,False
M2_gbdt,M2,gbdt,0.6993857002935122,0.825,1.6076782470483013,0.5358927490161004,0.7272929525515079,0.7272929525515079,0.002719268861965389,0.1688248823385725,0.0,24,40,0.0021771281914847603,False
M1_ols,M1,ols,0.6861849860700115,0.825,1.3271024077235998,0.4423674692411999,0.8054254873423665,0.8054254873423665,0.0022969256873769475,0.17600404135849618,0.000440671222958898,29,40,0.002293823326558547,False
M0_ols,M0,ols,0.6743145758630275,0.85,1.2617073913037649,0.42056913043458827,0.7484615208436863,0.7484615208436863,0.0026115971401899354,0.1786848927208844,0.000440671222958898,31,40,0.002179345436354386,False
M1_elasticnet,M1,elasticnet,0.6655747456541633,0.85,1.1922631965261614,0.3974210655087205,0.7459094909044444,0.7459094909044444,0.002624811926258973,0.1808784585552542,0.0011906861894693949,33,40,0.0018687022721640251,False
M2_elasticnet,M2,elasticnet,0.6643215513334535,0.85,1.1922631965261614,0.3974210655087205,0.7408967136216051,0.7408967136216051,0.002650577027995776,0.1808784585552542,0.0011906861894693949,33,40,0.0018871293194431269,False
M0_gbdt,M0,gbdt,0.6608826123274499,0.775,1.5724629544593578,0.5241543181531193,0.6697144038954325,0.6697144038954325,0.0029926007892896933,0.1716389915323622,0.0,25,40,0.002009085561887416,False
M3_elasticnet,M3,elasticnet,0.6598719174160071,0.85,1.198230004720039,0.39941000157334633,0.7203136674613435,0.7203136674613435,0.0027538456258145725,0.17806434936146448,0.0011906861894693949,32,40,0.0018971179350990772,False
M0_elasticnet,M0,elasticnet,0.6185916344848237,0.8,1.086102144138295,0.36203404804609834,0.6875188706747569,0.6875188706747569,0.002910823461606684,0.17919228715860605,0.00235596996663881,35,40,0.0017952482827316154,False
